Transcript_id	TPM	Expected_num_long_reads	Expected_num_short_read_pairs
ENST00000379080.5	0	0	0
ENST00000379081.5	11322.6	4.01951	46.1734
ENST00000379084.5	0	0	0
ENST00000379087.5	11140.4	3.95485	45.4306
ENST00000379089.5	0.00844047	2.99637e-06	3.44202e-05
ENST00000651358.1	0	0	0
ENST00000445726.5	0	0	0
ENST00000297620.8	26191.2	9.29789	106.808
ENST00000422409.5	4659.63	1.65417	19.002
ENST00000379078.1	12534	4.44955	51.1135
ENST00000294244.9	833640	295.942	3399.58
ENST00000540893.1	50781.5	18.0274	207.087
ENST00000535820.1	49731.1	17.6545	202.803
